"Statistic Label","Year","Sex","Type of Procedure","Area","UNIT","VALUE"
"Average Length of Stay","2020","Both sexes","Procedures on nervous system","Co. Clare","Rate","7.85"
"Average Length of Stay","2020","Both sexes","Procedures on nervous system","Co. Cork","Rate","8.96"
"Average Length of Stay","2020","Both sexes","Procedures on nervous system","Co. Cavan","Rate","8.32"
"Average Length of Stay","2020","Both sexes","Procedures on nervous system","Co. Carlow","Rate","8.74"
"Average Length of Stay","2020","Both sexes","Procedures on nervous system","Co. Donegal","Rate","8.96"
"Average Length of Stay","2020","Both sexes","Procedures on nervous system","Co. Dublin","Rate","11.33"
"Average Length of Stay","2020","Both sexes","Procedures on nervous system","Co. Galway","Rate","7.62"
"Average Length of Stay","2020","Both sexes","Procedures on nervous system","Co. Kildare","Rate","9.25"
"Average Length of Stay","2020","Both sexes","Procedures on nervous system","Co. Kilkenny","Rate","6.48"
"Average Length of Stay","2020","Both sexes","Procedures on nervous system","Co. Kerry","Rate","7.99"
"Average Length of Stay","2020","Both sexes","Procedures on nervous system","Co. Longford","Rate","13.25"
"Average Length of Stay","2020","Both sexes","Procedures on nervous system","Co. Louth","Rate","8.27"
"Average Length of Stay","2020","Both sexes","Procedures on nervous system","Co. Limerick","Rate","9.19"
"Average Length of Stay","2020","Both sexes","Procedures on nervous system","Co. Leitrim","Rate","8.94"
"Average Length of Stay","2020","Both sexes","Procedures on nervous system","Co. Laois","Rate","9.76"
"Average Length of Stay","2020","Both sexes","Procedures on nervous system","Co. Meath","Rate","8.68"
"Average Length of Stay","2020","Both sexes","Procedures on nervous system","Co. Monaghan","Rate","13.43"
"Average Length of Stay","2020","Both sexes","Procedures on nervous system","Co. Mayo","Rate","7.23"
"Average Length of Stay","2020","Both sexes","Procedures on nervous system","Co. Offaly","Rate","6.58"
"Average Length of Stay","2020","Both sexes","Procedures on nervous system","Co. Roscommon","Rate","7.67"
"Average Length of Stay","2020","Both sexes","Procedures on nervous system","Co. Sligo","Rate","7.96"
"Average Length of Stay","2020","Both sexes","Procedures on nervous system","Co. Tipperary","Rate","9.31"
