"Statistic Label","CensusYear","Sex","Administrative Counties","UNIT","VALUE"
"Population","2022","Both sexes","Ireland","Number","5149139"
"Population","2022","Both sexes","Carlow County Council","Number","61968"
"Population","2022","Both sexes","Dublin City Council","Number","592713"
"Population","2022","Both sexes","Dún Laoghaire Rathdown County Council","Number","233860"
"Population","2022","Both sexes","Fingal County Council","Number","330506"
"Population","2022","Both sexes","South Dublin County Council","Number","301075"
"Population","2022","Both sexes","Kildare County Council","Number","247774"
"Population","2022","Both sexes","Kilkenny County Council","Number","104160"
"Population","2022","Both sexes","Laois County Council","Number","91877"
"Population","2022","Both sexes","Longford County Council","Number","46751"
"Population","2022","Both sexes","Louth County Council","Number","139703"
"Population","2022","Both sexes","Meath County Council","Number","220826"
"Population","2022","Both sexes","Offaly County Council","Number","83150"
"Population","2022","Both sexes","Westmeath County Council","Number","96221"
"Population","2022","Both sexes","Wexford County Council","Number","163919"
"Population","2022","Both sexes","Wicklow County Council","Number","155851"
"Population","2022","Both sexes","Clare County Council","Number","127938"
"Population","2022","Both sexes","Cork City Council","Number","224004"
"Population","2022","Both sexes","Cork County Council","Number","360152"
"Population","2022","Both sexes","Kerry County Council","Number","156458"
"Population","2022","Both sexes","Limerick City & County Council","Number","209536"
"Population","2022","Both sexes","Tipperary County Council","Number","167895"
"Population","2022","Both sexes","Waterford City & County Council","Number","127363"
"Population","2022","Both sexes","Galway City Council","Number","84414"
"Population","2022","Both sexes","Galway County Council","Number","193323"
"Population","2022","Both sexes","Leitrim County Council","Number","35199"
"Population","2022","Both sexes","Mayo  County Council","Number","137970"
"Population","2022","Both sexes","Roscommon County Council","Number","70259"
"Population","2022","Both sexes","Sligo County Council","Number","70198"
"Population","2022","Both sexes","Cavan County Council","Number","81704"
"Population","2022","Both sexes","Donegal County Council","Number","167084"
"Population","2022","Both sexes","Monaghan County Council","Number","65288"
"Population","2022","Male","Ireland","Number","2544549"
"Population","2022","Male","Carlow County Council","Number","30822"
"Population","2022","Male","Dublin City Council","Number","291796"
"Population","2022","Male","Dún Laoghaire Rathdown County Council","Number","112032"
"Population","2022","Male","Fingal County Council","Number","162532"
"Population","2022","Male","South Dublin County Council","Number","147246"
"Population","2022","Male","Kildare County Council","Number","123264"
"Population","2022","Male","Kilkenny County Council","Number","51883"
"Population","2022","Male","Laois County Council","Number","46278"
"Population","2022","Male","Longford County Council","Number","23449"
"Population","2022","Male","Louth County Council","Number","68907"
"Population","2022","Male","Meath County Council","Number","109988"
"Population","2022","Male","Offaly County Council","Number","41628"
"Population","2022","Male","Westmeath County Council","Number","47721"
"Population","2022","Male","Wexford County Council","Number","80777"
"Population","2022","Male","Wicklow County Council","Number","76564"
"Population","2022","Male","Clare County Council","Number","62917"
"Population","2022","Male","Cork City Council","Number","109736"
"Population","2022","Male","Cork County Council","Number","179109"
"Population","2022","Male","Kerry County Council","Number","77387"
"Population","2022","Male","Limerick City & County Council","Number","104452"
"Population","2022","Male","Tipperary County Council","Number","83639"
"Population","2022","Male","Waterford City & County Council","Number","63095"
"Population","2022","Male","Galway City Council","Number","40414"
"Population","2022","Male","Galway County Council","Number","96520"
"Population","2022","Male","Leitrim County Council","Number","17553"
"Population","2022","Male","Mayo  County Council","Number","68392"
"Population","2022","Male","Roscommon County Council","Number","35170"
"Population","2022","Male","Sligo County Council","Number","34529"
"Population","2022","Male","Cavan County Council","Number","41060"
"Population","2022","Male","Donegal County Council","Number","82795"
"Population","2022","Male","Monaghan County Council","Number","32894"
"Population","2022","Female","Ireland","Number","2604590"
"Population","2022","Female","Carlow County Council","Number","31146"
"Population","2022","Female","Dublin City Council","Number","300917"
"Population","2022","Female","Dún Laoghaire Rathdown County Council","Number","121828"
"Population","2022","Female","Fingal County Council","Number","167974"
"Population","2022","Female","South Dublin County Council","Number","153829"
"Population","2022","Female","Kildare County Council","Number","124510"
"Population","2022","Female","Kilkenny County Council","Number","52277"
"Population","2022","Female","Laois County Council","Number","45599"
"Population","2022","Female","Longford County Council","Number","23302"
"Population","2022","Female","Louth County Council","Number","70796"
"Population","2022","Female","Meath County Council","Number","110838"
"Population","2022","Female","Offaly County Council","Number","41522"
"Population","2022","Female","Westmeath County Council","Number","48500"
"Population","2022","Female","Wexford County Council","Number","83142"
"Population","2022","Female","Wicklow County Council","Number","79287"
"Population","2022","Female","Clare County Council","Number","65021"
"Population","2022","Female","Cork City Council","Number","114268"
"Population","2022","Female","Cork County Council","Number","181043"
"Population","2022","Female","Kerry County Council","Number","79071"
"Population","2022","Female","Limerick City & County Council","Number","105084"
"Population","2022","Female","Tipperary County Council","Number","84256"
"Population","2022","Female","Waterford City & County Council","Number","64268"
"Population","2022","Female","Galway City Council","Number","44000"
"Population","2022","Female","Galway County Council","Number","96803"
"Population","2022","Female","Leitrim County Council","Number","17646"
"Population","2022","Female","Mayo  County Council","Number","69578"
"Population","2022","Female","Roscommon County Council","Number","35089"
"Population","2022","Female","Sligo County Council","Number","35669"
"Population","2022","Female","Cavan County Council","Number","40644"
"Population","2022","Female","Donegal County Council","Number","84289"
"Population","2022","Female","Monaghan County Council","Number","32394"
